order_id,customer_id,customer_name,region,order_date,ship_date,product_id,category,sub_category,product_name,quantity,unit_price,discount,sales,profit,latitude,longitude
O100000,C9327,Kathryn Moss,Central,2023-12-14,2023-12-23,P204,Furniture,Chairs,Professional Model A,3,94.75,0.0,284.25,66.65,46.297482,-90.582773
O100001,C5133,Thomas Mason,Central,2023-05-04,2023-05-06,P594,Technology,Accessories,Leg Model C,8,299.54,0.0,2396.32,420.14,36.195284,-117.379358
O100002,C7409,Stephanie Glass,Central,2023-05-31,2023-06-03,P871,Office Supplies,Binders,Member Model B,1,382.02,0.0,382.02,104.47,46.563023,-123.425965
O100003,C4979,Jeffrey Boone,Central,2023-01-29,2023-02-01,P566,Technology,Phones,Audience Model A,5,64.29,0.0,321.45,44.99,34.457283,-69.070715
O100004,C2651,Pamela Perkins,South,2024-05-29,2024-06-07,P705,Furniture,Bookcases,Heavy Model B,3,18.36,0.0,55.08,4.7,31.397245,-98.763817
O100005,C2984,Norman Brown,South,2024-07-10,2024-07-11,P869,Furniture,Tables,Reality Model B,6,419.39,0.1,2264.71,477.97,26.037443,-80.561965
O100006,C7566,Ryan Cooley,East,2024-07-24,2024-08-01,P662,Office Supplies,Art,Movie Model B,9,167.59,0.1,1357.48,329.54,33.962598,-112.618463
O100007,C1890,Gregory Munoz,Central,2024-11-21,2024-11-25,P205,Office Supplies,Paper,Old Model B,5,229.51,0.0,1147.55,260.43,47.593058,-115.468616
O100008,C5074,Michael Rodgers,West,2024-05-08,2024-05-16,P285,Technology,Copiers,She Model A,1,131.32,0.0,131.32,17.8,44.530966,-68.949079
O100009,C9470,Nicholas Fletcher,Central,2023-10-20,2023-10-22,P195,Technology,Machines,Magazine Model A,1,392.06,0.0,392.06,90.94,38.57928,-114.665769
O100010,C5023,Karen Shaw,East,2024-12-09,2024-12-12,P877,Technology,Copiers,Six Model B,5,276.15,0.0,1380.75,401.73,34.795345,-99.356435
O100011,C3291,Mark Evans,Central,2023-08-21,2023-08-28,P893,Technology,Machines,Draw Model B,4,149.06,0.1,536.62,61.3,25.379916,-74.456573
O100012,C3872,Melissa Delgado,East,2024-02-08,2024-02-16,P407,Furniture,Tables,So Model C,7,47.83,0.0,334.81,49.55,30.55383,-85.52068
O100013,C7134,Kendra Terry,West,2024-02-23,2024-02-29,P400,Office Supplies,Paper,Without Model A,8,10.66,0.3,59.7,16.81,33.644584,-99.297356
O100014,C6246,Elizabeth Gregory,East,2023-01-16,2023-01-26,P596,Furniture,Bookcases,Fight Model C,4,182.71,0.0,730.84,37.01,32.168391,-96.54954
O100015,C5769,Calvin Robinson,South,2024-11-28,2024-11-30,P808,Office Supplies,Art,Between Model A,1,353.22,0.0,353.22,101.44,39.045819,-109.185037
O100016,C7569,Keith Cooper,Central,2023-04-01,2023-04-02,P612,Furniture,Bookcases,Push Model B,8,176.45,0.0,1411.6,284.21,39.76531,-77.103167
O100017,C2547,Gregory Clark,East,2024-07-25,2024-08-03,P134,Technology,Accessories,Form Model B,3,248.99,0.0,746.97,95.83,43.036625,-70.625948
O100018,C4632,Mrs. Debbie Gregory,Central,2023-10-30,2023-11-03,P703,Office Supplies,Art,Art Model C,7,340.36,0.0,2382.52,150.64,34.435643,-91.989229
O100019,C3293,James Fitzgerald,Central,2024-12-10,2024-12-14,P692,Office Supplies,Art,Protect Model C,8,210.23,0.3,1177.29,260.41,47.296308,-78.041855
O100020,C4475,Justin Hunter,West,2023-06-07,2023-06-17,P479,Technology,Copiers,Maintain Model B,1,216.82,0.0,216.82,52.3,45.832017,-100.929328
O100021,C8748,Teresa Rose,South,2024-06-30,2024-07-05,P349,Technology,Copiers,Section Model B,1,443.04,0.0,443.04,93.8,39.505572,-103.650496
O100022,C2703,Kelly Collins,Central,2023-08-10,2023-08-15,P429,Office Supplies,Binders,Training Model C,9,26.46,0.1,214.33,53.32,41.128986,-108.341388
O100023,C8873,Jeffrey Stewart,East,2023-02-26,2023-02-28,P927,Furniture,Tables,Material Model B,3,330.03,0.0,990.09,107.99,47.219113,-83.769256
O100024,C6905,Michael Hughes,West,2024-06-28,2024-07-04,P854,Furniture,Bookcases,Morning Model B,9,217.48,0.0,1957.32,269.43,48.608246,-104.717443
O100025,C5195,Daniel Mcguire,South,2023-10-06,2023-10-15,P157,Technology,Copiers,Born Model C,7,61.37,0.0,429.59,99.6,42.460777,-80.68966
O100026,C3701,Cindy Williams,West,2023-05-28,2023-06-05,P605,Furniture,Bookcases,Sometimes Model C,3,433.08,0.1,1169.32,140.16,33.700381,-80.871174
O100027,C3288,William Bates,South,2024-07-27,2024-07-30,P459,Furniture,Tables,Simply Model A,7,478.84,0.0,3351.88,539.01,31.815729,-102.748007
O100028,C7855,Matthew Manning,West,2023-09-12,2023-09-19,P677,Furniture,Chairs,Difficult Model C,7,313.53,0.1,1975.24,134.03,45.487105,-107.365865
O100029,C3870,Stephanie Ochoa,West,2023-01-19,2023-01-22,P358,Office Supplies,Paper,Line Model B,9,461.62,0.0,4154.58,1143.13,25.255794,-80.95495
O100030,C5101,Brandy Bowen,South,2023-07-04,2023-07-12,P278,Office Supplies,Binders,Chance Model B,8,66.67,0.0,533.36,69.18,40.233887,-70.532309
O100031,C3999,Terrence Miller,East,2023-07-31,2023-08-01,P170,Furniture,Chairs,Budget Model B,5,292.43,0.0,1462.15,166.34,28.504364,-92.813973
O100032,C7151,Toni Gregory,East,2024-05-21,2024-05-27,P934,Furniture,Bookcases,My Model A,3,306.43,0.2,735.43,172.68,25.654985,-93.571148
O100033,C7255,Jill Parker,Central,2024-11-12,2024-11-18,P559,Furniture,Tables,Sell Model A,5,344.1,0.1,1548.45,240.74,32.674797,-97.914363
O100034,C3392,Natalie Valdez,West,2024-05-26,2024-05-31,P249,Office Supplies,Art,Special Model B,2,22.62,0.0,45.24,7.91,32.000582,-94.240165
O100035,C2213,Stephen Johnson,Central,2023-12-16,2023-12-24,P766,Technology,Accessories,Take Model C,9,404.17,0.0,3637.53,557.87,33.458077,-123.445401
O100036,C3922,James Spencer,West,2023-03-14,2023-03-16,P640,Furniture,Tables,Morning Model B,5,75.02,0.0,375.1,63.58,31.051237,-100.466025
O100037,C1118,Robyn Johnson,South,2024-02-09,2024-02-15,P942,Office Supplies,Binders,Use Model C,4,105.32,0.0,421.28,118.53,29.47694,-70.345119
O100038,C1373,Robert Lopez,East,2024-11-21,2024-11-29,P511,Office Supplies,Art,Opportunity Model C,2,74.21,0.0,148.42,18.53,44.728782,-81.348413
O100039,C5899,Christopher Hartman DDS,East,2023-04-27,2023-05-06,P412,Furniture,Tables,Hold Model A,2,455.23,0.1,819.41,97.94,42.173784,-85.305093
O100040,C2850,Thomas Harrington,South,2024-02-04,2024-02-11,P502,Office Supplies,Art,Always Model C,5,331.26,0.2,1325.04,373.27,35.145943,-102.585308
O100041,C2888,Samantha Fletcher,West,2024-05-18,2024-05-26,P345,Office Supplies,Paper,Coach Model B,1,281.14,0.0,281.14,25.38,38.468283,-101.059333
O100042,C7633,Steven Peterson,South,2024-01-11,2024-01-14,P963,Office Supplies,Paper,Director Model B,2,457.95,0.1,824.31,195.44,43.344962,-101.223668
O100043,C4705,Amy Hernandez,Central,2024-11-11,2024-11-18,P353,Technology,Accessories,Will Model C,3,362.28,0.2,869.47,55.47,41.343008,-112.494273
O100044,C8280,Jennifer Kim,East,2024-01-11,2024-01-17,P753,Technology,Machines,Structure Model A,4,231.96,0.0,927.84,117.21,43.580758,-115.266586
O100045,C2347,Ellen Hart,West,2024-12-18,2024-12-26,P560,Furniture,Chairs,Remain Model C,6,197.46,0.0,1184.76,322.3,28.292499,-76.091322
O100046,C5349,Donna Brown,Central,2023-06-18,2023-06-25,P415,Technology,Copiers,Fund Model B,4,156.59,0.0,626.36,156.34,47.791103,-96.528293
O100047,C5628,Anne Long,South,2024-05-29,2024-06-01,P286,Furniture,Bookcases,Citizen Model A,9,34.17,0.0,307.53,36.91,39.191102,-82.759033
O100048,C9001,Katelyn Jones,West,2023-11-03,2023-11-10,P630,Office Supplies,Binders,White Model A,3,180.82,0.0,542.46,99.44,45.570372,-104.49675
O100049,C2351,Eric Riddle,West,2023-03-07,2023-03-14,P581,Office Supplies,Binders,Purpose Model C,7,244.14,0.0,1708.98,350.06,42.064417,-118.872285
O100050,C2837,Michael Fleming,Central,2024-06-12,2024-06-16,P465,Office Supplies,Art,Return Model C,2,140.19,0.2,224.3,31.17,36.845589,-115.182486
O100051,C5867,Ryan Richardson,West,2023-07-24,2023-08-01,P872,Furniture,Bookcases,Offer Model B,9,314.5,0.1,2547.45,425.01,26.179804,-82.979053
O100052,C4952,David Lynch,West,2023-12-06,2023-12-12,P850,Office Supplies,Art,Like Model B,8,279.32,0.0,2234.56,414.25,31.940484,-121.364862
O100053,C2955,Krystal Barnes,Central,2024-06-09,2024-06-14,P167,Technology,Accessories,Leg Model B,8,85.15,0.0,681.2,196.14,44.884,-119.273825
O100054,C4084,Ashley Barnett,South,2023-04-12,2023-04-13,P376,Technology,Accessories,Particularly Model A,5,375.3,0.0,1876.5,531.59,29.179722,-79.130631
O100055,C7885,Dawn Harris,Central,2024-06-20,2024-06-29,P286,Furniture,Chairs,Several Model B,1,78.35,0.2,62.68,15.32,46.544584,-75.350574
